iter	Passed	Remaining
1300	173080	478665
1301	173251	478638
1302	173404	478559
1303	173508	478347
1304	173619	478151
1305	173730	477959
1306	173832	477740
1307	174024	477769
1308	174179	477694
1309	174316	477572
1310	174487	477543
1311	174611	477387
1312	174740	477243
1313	174834	477003
1314	174953	476831
1315	175076	476670
1316	175182	476465
1317	175350	476426
1318	175611	476639
1319	175808	476679
1320	176017	476753
1321	176168	476666
1322	176406	476816
1323	176589	476817
1324	176800	476894
1325	177003	476947
1326	177217	477032
1327	177427	477103
1328	177604	477085
1329	177794	477104
1330	177964	477067
1331	178147	477066
1332	178362	477149
1333	178555	477175
1334	178803	477345
1335	178992	477356
1336	179212	477452
1337	179410	477488
1338	179633	477592
1339	179842	477655
1340	180074	477781
1341	180276	477826
1342	180469	477847
1343	180728	478042
1344	181027	478342
1345	181188	478279
1346	181328	478158
1347	181491	478097
1348	181676	478095
1349	181877	478136
1350	182095	478219
1351	182295	478255
1352	182470	478226
1353	182658	478231
1354	182838	478214
1355	183020	478202
1356	183200	478184
1357	183367	478132
1358	183521	478046
1359	183692	478006
1360	183888	478029
1361	184059	477986
1362	184280	478075
1363	184437	477995
1364	184618	477978
1365	184781	477914
1366	184967	477912
1367	185171	477953
1368	185351	477933
1369	185532	477916
1370	185682	477818
1371	185788	477606
1372	185860	477307
1373	185928	476999
1374	185997	476694
1375	186075	476413
1376	186164	476158
1377	186282	475980
1378	186356	475688
1379	186439	475419
1380	186516	475136
1381	186604	474883
1382	186676	474587
1383	186748	474291
1384	186840	474048
1385	186994	473961
1386	187101	473756
1387	187224	473590
1388	187288	473278
1389	187355	472972
1390	187427	472678
1391	187505	472400
1392	187594	472149
1393	187694	471929
1394	187795	471708
1395	187869	471423
1396	187960	471178
1397	188059	470957
1398	188163	470744
1399	188265	470530
1400	188352	470276
1401	188424	469986
1402	188629	470027
1403	188766	469898
1404	188875	469702
1405	188955	469432
1406	189035	469163
1407	189148	468975
1408	189281	468838
1409	189432	468745
1410	189556	468583
1411	189677	468417
1412	189775	468193
1413	189917	468077
1414	189992	467798
1415	190070	467524
1416	190165	467294
1417	190281	467114
1418	190422	466997
1419	190543	466831
1420	190630	466581
1421	190740	466388
1422	190840	466171
1423	190928	465923
1424	190991	465618
1425	191065	465336
1426	191142	465064
1427	191248	464861
1428	191348	464646
1429	191417	464354
1430	191503	464104
1431	191617	463923
1432	191718	463710
1433	191826	463514
1434	191909	463257
1435	191980	462973
1436	192067	462726
1437	192195	462577
1438	192295	462365
1439	192384	462123
1440	192450	461826
1441	192525	461554
1442	192607	461296
1443	192710	461090
1444	192773	460788
1445	192855	460531
1446	192945	460294
1447	193033	460053
1448	193142	459863
1449	193225	459609
1450	193308	459358
1451	193393	459109
1452	193483	458872
1453	193589	458677
1454	193670	458419
1455	193746	458151
1456	193829	457900
1457	193912	457649
1458	193983	457371
1459	194069	457125
1460	194156	456886
1461	194240	456636
1462	194326	456393
1463	194404	456133
1464	194466	455833
1465	194546	455577
1466	194651	455379
1467	194725	455110
1468	194808	454862
1469	194891	454614
1470	194975	454369
1471	195075	454160
1472	195169	453937
1473	195238	453658
1474	195312	453390
1475	195395	453142
1476	195475	452888
1477	195551	452626
1478	195631	452373
1479	195740	452187
1480	195835	451969
1481	195935	451762
